IM_ad,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Hit/M,AckNum_set/IM_a,Hit/M,Ack_dec/,Fault/,Fault/,Fault/,Fault/,AckNum_set/IM_a,Stall/
IM_a,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Hit/Ack_dec/M,Fault/,Fault/,Fault/,Fault/,Stall/
S,1,1,Hit/,GetM/SM_ad,PutS/SI_a,Fault/,Fault/,InvAck2Req/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
SM_ad,0,1,Hit/,Stall/,Stall/,Stall/,Stall/,InvAck2Req/IM_ad,Fault/,Hit/M,AckNum_set/SM_a,Hit/M,Ack_dec/,Fault/,Fault/,Fault/,Fault/,AckNum_set/SM_a,Stall/
SM_a,0,1,Hit/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Hit/Ack_dec/M,Fault/,Fault/,Fault/,Fault/,Stall/
M,1,1,Hit/,Hit/,PutM_Data/MI_a,Data2Req/O,Data2Req/I,InvAck_Data/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,InvAck_Data/I
E,1,1,Hit/,Hit/M,PutE/EI_a,Data2Req/O,Data2Req/I,InvAck_Data/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,InvAck_Data/I
O,1,1,Hit/,GetM/OM_ac,PutO_Data/OI_a,Data2Req/,Data2Req/I,InvAck_Data/I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,InvAck_Data/I
OM_ac,0,1,Hit/,Stall/,Stall/,Data2Req/,Data2Req/IM_ad,InvAck_Data/IM_ad,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Fault/,Fault/,SetAck/OM_a,Hit/SetAck/M,Fault/,InvAck_Data/IM_ad
OM_a,0,1,Hit/,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Ack_dec/,Hit/Ack_dec/M,Fault/,Fault/,Fault/,Fault/,Stall/
OI_a,0,1,Stall/,Stall/,Stall/,Data2Req/,Data2Req/II_a,,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,
MI_a,0,1,Stall/,Stall/,Stall/,Data2Req/OI_a,Data2Req/II_a,,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,
EI_a,0,1,Stall/,Stall/,Stall/,Data2Req/SI_a,Data2Req/II_a,,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,
SI_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,InvAck2Req/II_a,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
II_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,I,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
