cell,bench,rows,L1hit,stable,transient,coalesced,miss,stable_wcTot,stable_wcOld,stable_wcL2s,stable_wcL2a,stable_wcResp,transient_wcTot,transient_wcOld,transient_wcL2s,coalesced_wcTot,coalesced_wcOld,coalesced_wcL2s,miss_wcTot,miss_wcOld,miss_wcResp,miss_wcDRAM,oldStable_respAhead_mean,oldStable_respAhead_max,oldStable_refillsAhead_mean,oldStable_arrayAhead_mean,oldStable_arrayAhead_max,oldStable_arrayWrites_mean,oldMiss_respAhead_mean,oldMiss_respAhead_max,neverOldest_pct,stall_S_d_n,stall_S_d_wcL2s,stall_I_d_n,stall_I_d_wcL2s,stall_MN_d_n,stall_MN_d_wcL2s,stall_IorS_a_n,stall_IorS_a_wcL2s,stall_N_a_n,stall_N_a_wcL2s,stall_fetch_n,stall_fetch_wcL2s,stall_gateonly_n,stall_gateonly_wcL2s
0:1,rspeed01-trace,284108,175090,92243,3741,9600,3434,74,74,48,65,23,85,85,39,279,279,256,269,269,18,253,0.00,0,0.00,0.1,6,0.0,0.00,0,0.0,5766,250,5,6,0,0,0,0,0,0,3301,256,40766,253
0:8,rspeed01-trace,284108,200657,69073,6765,4146,3467,850,379,385,399,104,944,420,391,613,424,563,600,425,62,583,0.06,4,0.00,0.5,39,0.2,0.05,3,31.1,5384,558,9,15,0,0,0,0,0,0,1707,563,29300,547
1:1,rspeed01-trace,284108,212071,70989,1048,0,0,80,80,34,71,24,63,63,27,0,0,0,0,0,0,0,0.00,0,0.00,0.0,7,0.0,0.00,0,0.0,916,24,101,9,1,8,0,0,0,0,0,0,4607,34
1:8,rspeed01-trace,284108,226841,54868,2399,0,0,588,277,335,398,72,635,315,214,0,0,0,0,0,0,0,0.03,4,0.00,0.4,35,0.2,0.00,0,20.4,2000,214,11,10,3,14,0,0,0,0,0,0,5670,335
2:1,rspeed01-trace,284108,210633,72324,1151,0,0,70,70,45,61,19,67,67,47,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,1058,47,43,9,0,0,0,0,0,0,0,0,5557,45
2:8,rspeed01-trace,284108,226002,55756,2350,0,0,468,255,248,277,58,742,403,189,0,0,0,0,0,0,0,0.03,3,0.00,0.5,26,0.2,0.00,0,20.5,1946,179,6,10,0,0,0,0,0,0,0,0,6262,248
0:1,ttsprk01-trace,306448,185841,102816,3398,10588,3805,93,93,64,84,31,72,72,46,286,286,266,276,276,12,260,0.00,0,0.00,0.1,8,0.0,0.00,0,0.0,5645,258,3,10,0,0,0,0,0,0,3669,266,40911,257
0:8,ttsprk01-trace,306448,208707,83779,5826,4291,3845,701,340,326,407,149,785,354,360,424,372,384,629,624,103,608,0.07,6,0.00,0.5,41,0.2,0.10,4,32.7,5013,364,26,19,2,104,0,0,0,0,1876,384,31256,381
1:1,ttsprk01-trace,306448,198778,106266,1404,0,0,70,70,40,61,32,58,58,38,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,1284,30,21,12,1,8,0,0,0,0,0,0,11011,40
1:8,ttsprk01-trace,306448,234706,68383,3359,0,0,671,426,419,386,118,617,449,234,0,0,0,0,0,0,0,0.04,4,0.00,0.6,38,0.3,0.00,0,23.9,2701,234,29,22,4,16,0,0,0,0,0,0,7566,419
2:1,ttsprk01-trace,306448,197347,107389,1712,0,0,82,82,44,73,33,68,68,39,0,0,0,0,0,0,0,0.00,0,0.00,0.0,7,0.0,0.00,0,0.0,1551,29,15,9,0,0,0,0,0,0,0,0,11366,44
2:8,ttsprk01-trace,306448,227866,74742,3840,0,0,617,280,254,437,144,564,253,242,0,0,0,0,0,0,0,0.05,4,0.00,0.6,43,0.2,0.00,0,26.2,2993,194,31,73,0,0,0,0,0,0,0,0,11539,254
