cell,bench,rows,L1hit,stable,transient,coalesced,miss,stable_wcTot,stable_wcOld,stable_wcL2s,stable_wcL2a,stable_wcResp,transient_wcTot,transient_wcOld,transient_wcL2s,coalesced_wcTot,coalesced_wcOld,coalesced_wcL2s,miss_wcTot,miss_wcOld,miss_wcResp,miss_wcDRAM,oldStable_respAhead_mean,oldStable_respAhead_max,oldStable_refillsAhead_mean,oldStable_arrayAhead_mean,oldStable_arrayAhead_max,oldStable_arrayWrites_mean,oldMiss_respAhead_mean,oldMiss_respAhead_max,neverOldest_pct,stall_S_d_n,stall_S_d_wcL2s,stall_I_d_n,stall_I_d_wcL2s,stall_MN_d_n,stall_MN_d_wcL2s,stall_IorS_a_n,stall_IorS_a_wcL2s,stall_N_a_n,stall_N_a_wcL2s,stall_fetch_n,stall_fetch_wcL2s,stall_gateonly_n,stall_gateonly_wcL2s
1:8,ocean,11791912,10781753,1004394,5765,0,0,516,208,143,377,247,872,872,854,0,0,0,0,0,0,0,0.01,6,0.00,0.1,46,0.0,0.00,0,8.9,337,108,976,129,4439,854,0,0,0,0,3,397,11318,143
2:1,ocean,11791912,11040695,750188,1029,0,0,208,208,40,199,22,76,76,20,0,0,0,0,0,0,0,0.00,0,0.00,0.1,19,0.1,0.00,0,0.0,112,20,917,8,0,0,0,0,0,0,0,0,504,40
2:8,ocean,11791912,11050581,740795,536,0,0,860,765,609,851,103,493,207,70,0,0,0,0,0,0,0,0.00,4,0.00,2.0,102,1.0,0.00,0,8.4,382,70,147,12,0,0,0,0,0,0,0,0,1146,609
0:1,radiosity,81016239,76331942,310987,8107,1948,4363255,63,63,39,53,24,58,58,18,653,653,645,909,909,22,893,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,2642,269,4669,18,820,15,0,0,0,0,1919,645,14358,39
0:8,radiosity,81016239,76186669,260246,11584,10159,4547581,2945,123,113,110,48,2938,109,51,3343,3178,3330,4428,4427,79,4412,0.00,1,0.00,0.2,21,0.2,0.00,3,9.4,9292,2465,284,27,2331,51,0,0,0,0,9819,3330,57512,113
1:1,radiosity,81016239,76160688,4843802,11749,0,0,95,95,32,81,35,88,88,48,0,0,0,0,0,0,0,0.00,0,0.00,0.0,10,0.0,0.00,0,0.0,1809,12,5115,18,4823,48,0,0,0,0,0,0,9059,38
1:8,radiosity,81016239,76202760,4797492,15981,6,0,207,145,75,149,200,349,200,175,55,40,26,0,0,0,0,0.00,4,0.00,0.0,26,0.0,0.00,0,2.5,5459,70,735,56,9779,175,0,0,0,0,2,20,52409,75
2:1,radiosity,81016239,76565099,4447840,3300,0,0,74,74,40,62,20,74,74,13,0,0,0,0,0,0,0,0.00,0,0.00,0.0,8,0.0,0.00,0,0.0,1624,13,1676,8,0,0,0,0,0,0,0,0,7657,40
2:8,radiosity,4811366,3141351,1669798,217,0,0,2106527,2106488,77,2106512,100,182,163,70,0,0,0,0,0,0,0,0.00,4,0.00,1.0,210769,1.0,0.00,0,0.8,39,70,178,11,0,0,0,0,0,0,0,0,133,77
0:1,radix,52810276,47522635,339875,16416,968,4930382,73,73,17,64,32,60,60,13,443,443,434,1419,1419,22,1403,0.00,0,0.00,0.1,8,0.0,0.00,0,0.0,298,289,13533,13,2859,12,0,0,0,0,599,434,470,187
0:8,radix,52810276,47068880,278136,6728,1462,5455070,620,45,29,84,33,815,47,24,852,852,843,4922,4057,38,4905,0.00,2,0.00,0.1,9,0.1,0.00,2,42.2,358,438,4117,19,2499,19,0,0,0,0,1141,843,1540,236
1:1,radix,52810276,47424712,5335585,49978,1,0,127,127,24,118,45,209,209,191,14,14,6,0,0,0,0,0.00,0,0.00,0.0,16,0.0,0.00,0,0.0,107,8,21974,22,27893,191,0,0,0,0,0,0,49945,24
1:8,radix,52810276,47562363,4901785,346128,0,0,1093,230,157,439,195,2818,2728,2806,0,0,0,0,0,0,0,0.01,4,0.00,0.1,69,0.1,0.00,0,25.2,67,70,14285,122,331755,2806,0,0,0,0,20,991,250666,157
2:1,radix,52810276,48786650,4007277,16349,0,0,174,174,76,163,30,151,151,13,0,0,0,0,0,0,0,0.00,0,0.00,2.1,17,1.2,0.00,0,0.0,6,2,16343,13,0,0,0,0,0,0,0,0,53,76
2:8,radix,52810276,48873013,3932440,4823,0,0,701,498,381,692,61,622,363,70,0,0,0,0,0,0,0,0.00,4,0.00,26.5,71,14.2,0.00,0,19.4,26,70,4797,26,0,0,0,0,0,0,0,0,128,381
0:1,raytrace,103244861,95229634,2996256,14827,11421,4992723,57,57,27,48,24,69,69,18,549,549,540,995,995,22,979,0.00,0,0.00,0.0,5,0.0,0.00,0,0.0,608,427,9865,16,4565,15,0,0,0,0,11160,540,1733,27
0:8,raytrace,103244861,95377530,2911019,10396,9222,4936694,709,69,48,109,48,1297,62,38,4973,4972,4964,5635,5417,45,5619,0.00,3,0.00,0.0,10,0.0,0.00,3,24.9,717,465,2681,21,7178,22,0,0,0,0,8962,4964,1939,48
1:1,raytrace,103244861,95228384,7999039,17438,0,0,68,68,40,58,35,70,70,26,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,284,13,10484,15,6666,26,0,0,0,0,1,8,1351,40
1:8,raytrace,103244861,95314225,7908758,21877,1,0,177,126,62,137,102,182,163,91,14,13,5,0,0,0,0,0.00,5,0.00,0.0,15,0.0,0.00,0,7.1,465,70,5825,47,15563,91,0,0,0,0,2,22,9674,62
2:1,raytrace,103244861,97036133,6202081,6647,0,0,74,74,30,65,16,76,76,16,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,221,13,6425,8,0,0,0,0,0,0,0,0,898,30
2:8,raytrace,103244861,97110436,6130554,3871,0,0,257,176,98,248,70,209,163,76,0,0,0,0,0,0,0,0.00,5,0.00,0.1,27,0.0,0.00,0,5.5,427,76,3406,9,0,0,0,0,0,0,0,0,1276,98
0:1,volrend,32533460,31502456,549387,7412,1773,472432,53,53,19,44,19,56,56,13,475,475,466,685,685,17,669,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,1331,288,3990,12,2157,13,0,0,0,0,1689,466,913,19
0:8,volrend,32533460,31530149,531501,5448,2690,463672,350,68,41,83,34,358,62,19,715,715,706,1155,1060,39,1139,0.00,2,0.00,0.0,8,0.0,0.01,3,8.9,3102,687,96,14,2430,18,0,0,0,0,2491,706,2746,65
1:1,volrend,32533460,31495283,1029882,8295,0,0,68,68,24,56,23,52,52,19,0,0,0,0,0,0,0,0.00,0,0.00,0.0,5,0.0,0.00,0,0.0,1346,13,3700,15,3249,19,0,0,0,0,0,0,1101,24
1:8,volrend,32533460,31518672,1008502,6286,0,0,118,103,61,95,70,182,163,70,0,0,0,0,0,0,0,0.00,4,0.00,0.0,11,0.0,0.00,0,2.7,3031,70,116,30,3136,61,0,0,0,0,0,0,3621,61
2:1,volrend,32533460,31701853,827687,3920,0,0,53,53,27,44,13,53,53,12,0,0,0,0,0,0,0,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,1297,12,2623,9,0,0,0,0,0,0,0,0,978,27
2:8,volrend,32533460,31720010,810616,2834,0,0,138,82,48,129,61,182,163,70,0,0,0,0,0,0,0,0.00,4,0.00,0.1,12,0.0,0.00,0,2.2,2793,70,34,7,0,0,0,0,0,0,0,0,2634,48
0:1,water_nsquared,6354034,5980887,198656,1278,1650,171563,55,55,15,44,19,51,51,15,409,409,396,744,744,17,728,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,95,296,554,10,675,12,0,0,0,0,1596,396,97,15
0:8,water_nsquared,6354034,6004654,185824,1263,2192,160101,821,63,29,53,34,842,46,19,817,719,808,1017,881,33,1001,0.00,1,0.00,0.0,7,0.0,0.01,2,22.7,234,451,237,15,963,19,0,0,0,0,2002,808,121,128
1:1,water_nsquared,6354034,5978733,373575,1726,0,0,50,50,16,41,26,53,53,16,0,0,0,0,0,0,0,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,42,10,600,12,1082,16,0,0,0,0,1,9,180,16
1:8,water_nsquared,6354034,5990021,361841,2171,1,0,110,92,48,69,65,182,163,70,19,19,6,0,0,0,0,0.00,4,0.00,0.0,8,0.0,0.00,0,5.7,82,70,312,30,1775,38,0,0,0,0,1,10,497,48
2:1,water_nsquared,6354034,6081892,271711,431,0,0,63,63,8,54,13,45,45,4,0,0,0,0,0,0,0,0.00,0,0.00,0.0,5,0.0,0.00,0,0.0,2,2,429,4,0,0,0,0,0,0,0,0,13,8
2:8,water_nsquared,6354034,6089443,264513,78,0,0,189,183,48,177,61,182,163,70,0,0,0,0,0,0,0,0.00,4,0.00,0.0,17,0.0,0.00,0,4.3,12,70,66,8,0,0,0,0,0,0,0,0,24,48
0:1,water_spatial,12033866,11651431,139530,2334,294,240277,46,46,8,37,17,46,46,15,406,406,397,628,628,17,612,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,15,171,917,11,1415,15,0,0,0,0,278,397,23,8
0:8,water_spatial,12033866,11679542,131254,1795,321,220954,283,53,21,53,30,239,45,17,757,757,748,1090,1011,32,1073,0.00,2,0.00,0.0,7,0.0,0.00,2,14.5,29,421,376,16,1407,17,0,0,0,0,302,748,24,81
1:1,water_spatial,12033866,11648093,382643,3130,0,0,53,53,8,41,20,46,46,20,0,0,0,0,0,0,0,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,5,4,960,12,2165,20,0,0,0,0,0,0,17,8
1:8,water_spatial,12033866,11669513,361993,2360,0,0,122,77,79,72,79,114,75,64,0,0,0,0,0,0,0,0.00,3,0.00,0.0,9,0.0,0.00,0,2.5,14,26,164,17,2182,64,0,0,0,0,0,0,227,79
2:1,water_spatial,12033866,11838422,194717,727,0,0,56,56,8,44,13,36,36,8,0,0,0,0,0,0,0,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,3,2,724,8,0,0,0,0,0,0,0,0,5,8
2:8,water_spatial,12033866,11846700,187133,33,0,0,153,133,79,140,79,114,44,26,0,0,0,0,0,0,0,0.00,2,0.00,0.0,13,0.0,0.00,0,1.1,6,26,27,7,0,0,0,0,0,0,0,0,24,79
