ReqID,Core,WCLatency,Arrival_Time,Finish_Time
2021,1,7,42065,42072
2067,1,7,42149,42156
2068,1,10,42156,42166
2071,1,10,42166,42176
2079,2,130,42195,42325
2082,3,241,42199,42440
2092,2,342,42325,42667
2095,3,342,42440,42782
2119,2,229,42667,42896
2123,3,119,42782,42901
2126,2,12,42896,42908
2129,3,13,42901,42914
2243,1,7,42937,42944
2127,2,101,42908,43009
2130,3,100,42914,43014
2128,2,114,43009,43123
2131,3,114,43014,43128
2176,2,118,43123,43241
2161,3,224,43128,43352
2209,2,225,43241,43466
2244,3,119,43352,43471
2237,2,12,43466,43478
2390,0,166,43413,43579
2328,3,222,43471,43693
2238,2,329,43478,43807
2379,3,342,43693,44035
2318,2,342,43807,44149
2325,2,228,44149,44377
2327,2,115,44377,44492
2334,2,114,44492,44606
2341,2,12,44606,44618
2342,2,12,44618,44630
2343,2,89,44630,44719
2346,2,115,44719,44834
2350,2,114,44834,44948
2400,2,113,44948,45061
2438,3,199,44977,45176
2414,2,229,45061,45290
2459,3,228,45176,45404
2466,3,126,45404,45530
2471,3,12,45530,45542
2474,3,12,45542,45554
2512,2,7,45585,45592
2476,3,89,45554,45643
2533,3,5,45643,45648
2676,3,7,49683,49690
2734,0,7,51341,51348
2735,0,57,51348,51405
2737,0,12,51405,51417
2909,2,186,53345,53531
2938,2,12,53531,53543
2985,2,102,53543,53645
3053,3,129,55661,55790
3054,3,113,55790,55903
3120,2,130,58821,58951
3122,2,114,58951,59065
3131,0,129,59901,60030
3138,0,114,60030,60144
3150,0,115,60144,60259
3185,0,113,60259,60372
3186,0,115,60372,60487
3197,0,7,62977,62984
3255,0,10,62984,62994
3274,0,130,63073,63203
3297,0,7,63555,63562
3368,0,57,64521,64578
3369,0,12,64578,64590
3376,0,57,64715,64772
3384,0,57,65227,65284
3387,0,12,65284,65296
3411,0,129,65857,65986
3413,0,114,65986,66100
3499,3,130,67267,67397
3500,3,12,67397,67409
3501,3,103,67409,67512
3533,0,195,67543,67738
3538,0,12,67738,67750
3548,0,12,67750,67762
3549,0,90,67762,67852
3551,0,12,67852,67864
3552,0,102,67864,67966
3561,3,58,68727,68785
3621,0,129,69627,69756
3626,0,114,69756,69870
3629,0,114,69870,69984
3630,0,114,69984,70098
3647,0,114,70098,70212
3667,0,114,70212,70326
3673,0,114,70326,70440
3845,2,7,70985,70992
3846,2,5,70992,70997
3863,0,129,71121,71250
3864,0,114,71250,71364
3921,3,57,71381,71438
3927,3,12,71438,71450
3968,3,57,71493,71550
3976,3,22,71550,71572
4008,3,57,71607,71664
4019,3,22,71664,71686
4067,3,57,71721,71778
4081,3,20,71778,71798
4103,2,7,71799,71806
4121,3,57,71839,71896
4129,3,20,71896,71916
4165,3,57,71957,72014
4176,3,20,72014,72034
4134,1,182,71865,72047
4184,3,38,72034,72072
4193,3,50,72072,72122
4201,3,16,72122,72138
4225,3,57,72183,72240
4236,3,20,72240,72260
4270,3,57,72291,72348
4282,3,26,72348,72374
4291,3,16,72374,72390
4307,3,50,72390,72440
4319,3,40,72440,72480
4327,3,16,72480,72496
4336,3,36,72496,72532
4347,3,54,72532,72586
4378,1,7,72627,72634
4379,1,12,72634,72646
4388,1,7,72677,72684
4381,3,57,72665,72722
4419,2,18,72805,72823
4392,3,203,72722,72925
4570,1,7,73449,73456
4592,0,129,73697,73826
4634,1,14,74433,74447
4699,2,57,75505,75562
4705,2,12,75562,75574
4721,2,57,75617,75674
4729,2,22,75674,75696
4745,2,57,75731,75788
4753,2,20,75788,75808
4769,2,57,75849,75906
4777,2,20,75906,75926
4796,2,57,75967,76024
4807,2,20,76024,76044
4833,2,57,76075,76132
4842,2,24,76132,76156
4858,2,57,76191,76248
4866,2,20,76248,76268
4894,2,57,76309,76366
4902,2,20,76366,76386
4913,3,133,76359,76492
4954,3,98,76492,76590
4932,2,179,76427,76606
4940,2,12,76606,76618
4955,3,113,76590,76703
4956,3,25,76703,76728
4978,2,171,76663,76834
4996,3,220,76728,76948
